subject	activity	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tBodyAcc-mean()-Z	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyAccMag-mean()	tGravityAccMag-mean()	tBodyAccJerkMag-mean()	tBodyGyroMag-mean()	tBodyGyroJerkMag-mean()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAcc-meanFreq()-X	fBodyAcc-meanFreq()-Y	fBodyAcc-meanFreq()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyAccJerk-meanFreq()-X	fBodyAccJerk-meanFreq()-Y	fBodyAccJerk-meanFreq()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyGyro-meanFreq()-X	fBodyGyro-meanFreq()-Y	fBodyGyro-meanFreq()-Z	fBodyAccMag-mean()	fBodyAccMag-meanFreq()	fBodyBodyAccJerkMag-mean()	fBodyBodyAccJerkMag-meanFreq()	fBodyBodyGyroMag-mean()	fBodyBodyGyroMag-meanFreq()	fBodyBodyGyroJerkMag-mean()	fBodyBodyGyroJerkMag-meanFreq()	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-std()	tGravityAccMag-std()	tBodyAccJerkMag-std()	tBodyGyroMag-std()	tBodyGyroJerkMag-std()	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyAccMag-std()	fBodyBodyAccJerkMag-std()	fBodyBodyGyroMag-std()	fBodyBodyGyroJerkMag-std()
17	STANDING	0.278661409	-0.016357556	-0.109474463	0.950895217	-0.168980998	-0.011454008	0.076105437	0.011133093	0.001502789	-0.025373645	-0.071054572	0.081562003	-0.099008883	-0.041212974	-0.054509703	-0.948915843	-0.948915843	-0.973297168	-0.930977707	-0.975650809	-0.980625198	-0.932374146	-0.950993943	0.022886819	-0.025043841	0.039436367	-0.977896022	-0.956958371	-0.972557246	0.152315379	-0.176992021	-0.061033281	-0.928100174	-0.961722743	-0.953427107	-0.26343134	-0.267528853	-0.11333531	-0.949380632	0.024040874	-0.966069715	0.201203985	-0.935887152	-0.254911214	-0.972832849	0.017242113	-0.984365639	-0.921443614	-0.929276041	-0.993880581	-0.972525332	-0.954512375	-0.977580656	-0.956082537	-0.975938811	-0.925273112	-0.955862602	-0.952251117	-0.960792941	-0.978647407	-0.972564621	-0.9401486	-0.9401486	-0.965624435	-0.907292619	-0.970513775	-0.986221637	-0.920620139	-0.923874774	-0.979302691	-0.958418911	-0.977960378	-0.926045984	-0.953086356	-0.956406275	-0.944062249	-0.96409022	-0.906883369	-0.969485328
18	WALKING_UPSTAIRS	0.266281739	-0.026746583	-0.120298925	0.884273501	-0.271505183	-0.102626761	0.0721506	0.003437921	-0.010955997	-0.016359264	-0.082155314	0.079027944	-0.094868245	-0.044873967	-0.056492307	-0.115502702	-0.115502702	-0.409741498	-0.189476847	-0.6235488	-0.295809517	-0.165399068	-0.407781999	-0.445818292	-0.165228893	-0.298701117	-0.392976308	-0.379103442	-0.62467653	-0.354145682	-0.438209728	-0.450406094	-0.398614897	-0.483241123	-0.32723706	-0.212407907	-0.349004776	-0.251176336	-0.267077887	-0.064871204	-0.36141899	0.051890622	-0.4672408	-0.184815193	-0.673175176	0.08055029	-0.235354388	-0.046181317	-0.199538006	-0.954660805	-0.929436336	-0.900114459	-0.363215929	-0.352856897	-0.656227079	-0.472204127	-0.346732092	-0.271600056	-0.554434707	-0.689227703	-0.570255708	-0.243174184	-0.243174184	-0.384727338	-0.351175394	-0.679564068	-0.21440185	-0.050045951	-0.162384981	-0.390206203	-0.369147595	-0.686916222	-0.499659468	-0.287251112	-0.324882269	-0.349195787	-0.421515476	-0.391149592	-0.712189559
19	STANDING	0.279303558	-0.015494025	-0.1077801	0.949175061	-0.162099919	-0.025053865	0.074328783	0.008492511	-0.005106786	-0.027815889	-0.0654617	0.076997968	-0.097132394	-0.042654391	-0.051779323	-0.94862681	-0.94862681	-0.973920836	-0.94059693	-0.975390958	-0.979347392	-0.936893159	-0.952206827	0.016640293	-0.027162979	0.029532144	-0.977980677	-0.961063988	-0.972953905	0.1914633	-0.148594583	-0.013546174	-0.942085816	-0.96081837	-0.953577169	-0.225256699	-0.216347299	-0.100094097	-0.95103831	0.050465348	-0.967127733	0.238980454	-0.945820013	-0.187394179	-0.971535769	0.072746259	-0.98230436	-0.924188151	-0.932472243	-0.986366652	-0.965930668	-0.950534091	-0.977800226	-0.960638655	-0.976413874	-0.946378544	-0.956527146	-0.952488736	-0.963440085	-0.977036393	-0.973376939	-0.9405463	-0.9405463	-0.967821176	-0.928704072	-0.969986106	-0.983741021	-0.922484667	-0.927574278	-0.979716099	-0.963101293	-0.978544767	-0.948396525	-0.954587266	-0.956590175	-0.94403589	-0.967798872	-0.930477939	-0.969968172
20	WALKING_UPSTAIRS	0.26249641	-0.026266743	-0.122349842	0.877469432	-0.269432033	-0.15202514	0.08744302	-0.014076488	-0.009433784	0.003846184	-0.083758467	0.059870443	-0.110756286	-0.02928633	-0.056855891	-0.141194841	-0.141194841	-0.443221795	-0.181043456	-0.645162612	-0.348512415	-0.192324294	-0.370150041	-0.45282861	-0.214163793	-0.290622128	-0.440361696	-0.426730998	-0.606460398	-0.341304675	-0.466709009	-0.472271968	-0.430134813	-0.484045242	-0.321886513	-0.238451238	-0.343171072	-0.322963914	-0.308787661	-0.091074122	-0.401301418	0.048381185	-0.482344058	-0.202088137	-0.687551499	0.091743828	-0.294244544	-0.058509347	-0.161508246	-0.947366809	-0.926426319	-0.900231849	-0.415760696	-0.406642614	-0.640411507	-0.484245471	-0.363863631	-0.218610879	-0.603864422	-0.691643782	-0.612563712	-0.288215695	-0.288215695	-0.429724296	-0.352267313	-0.696615294	-0.2754184	-0.054997708	-0.126956953	-0.44318592	-0.426390537	-0.673246738	-0.50634228	-0.310624005	-0.262121317	-0.389437737	-0.47397664	-0.38406827	-0.731733758
21	STANDING	0.279313173	-0.017376239	-0.107578125	0.941326438	-0.179874829	-0.021336363	0.074838885	0.008959964	-0.003425828	-0.027007614	-0.068193409	0.081532357	-0.099942184	-0.041761746	-0.05167195	-0.951253205	-0.951253205	-0.976746143	-0.939357805	-0.978746655	-0.980941919	-0.939779076	-0.957797188	0.000445146	-0.045135608	0.062009817	-0.979627645	-0.96419835	-0.977489548	0.190106771	-0.139158796	0.000386471	-0.941294492	-0.96743105	-0.956050144	-0.228631639	-0.20588752	-0.094731092	-0.954241148	0.057697842	-0.97179931	0.258665103	-0.948872984	-0.164610302	-0.97723509	0.094244189	-0.983608173	-0.927256916	-0.939456575	-0.987252241	-0.965714695	-0.949782214	-0.979533037	-0.964251753	-0.980703581	-0.942812895	-0.963142873	-0.953285154	-0.966876368	-0.981904155	-0.977542153	-0.943535358	-0.943535358	-0.972649514	-0.930379422	-0.976110169	-0.984954365	-0.925403845	-0.934672978	-0.981368851	-0.967070396	-0.982598831	-0.944107727	-0.961141547	-0.956834609	-0.946482353	-0.972791357	-0.931204485	-0.976140058
22	STANDING	0.278366276	-0.015135964	-0.103323723	0.943278452	-0.176401378	-0.016481548	0.075310473	0.007684648	-0.006730153	-0.025521433	-0.064348144	0.079336769	-0.100869949	-0.042644514	-0.05238212	-0.950303505	-0.950303505	-0.977077415	-0.936422852	-0.977228947	-0.981925545	-0.942793185	-0.953601146	-0.000791171	-0.068739018	0.007324149	-0.979940683	-0.964670205	-0.974582328	0.205708664	-0.141372461	-0.004361647	-0.939361966	-0.961112636	-0.957069427	-0.234394693	-0.26160322	-0.115730882	-0.954468276	-0.012227545	-0.970858261	0.247026328	-0.940735153	-0.214009983	-0.971566106	0.062966799	-0.984642931	-0.930505831	-0.932649355	-0.987786466	-0.966902609	-0.948700205	-0.979904399	-0.964536176	-0.978418309	-0.940322584	-0.95628784	-0.955574425	-0.965370209	-0.977678432	-0.976322849	-0.943540205	-0.943540205	-0.97062027	-0.919329505	-0.969988385	-0.986028062	-0.928509904	-0.92714999	-0.981793901	-0.967071666	-0.981044341	-0.941730796	-0.954275979	-0.959336065	-0.946331239	-0.969353826	-0.92075876	-0.969935359
23	STANDING	0.278924883	-0.016519679	-0.106231535	0.936563553	-0.195745245	-0.016081481	0.07517711	0.010382557	-0.004003751	-0.027742612	-0.071873189	0.085597189	-0.1008143	-0.042191754	-0.051971566	-0.96051885	-0.96051885	-0.979027753	-0.948122985	-0.98044385	-0.983378164	-0.949860195	-0.96002887	0.03109425	-0.014083137	0.053572968	-0.981503894	-0.967296424	-0.977050734	0.215725895	-0.118880456	0.014004276	-0.948408771	-0.96587669	-0.963820805	-0.220989827	-0.215625611	-0.087521401	-0.960003124	0.054127658	-0.972806029	0.23905951	-0.950460209	-0.171831127	-0.974853122	0.081883427	-0.986162488	-0.942452679	-0.945732281	-0.98910726	-0.97618363	-0.956519415	-0.981605725	-0.967051637	-0.980290304	-0.950629602	-0.962333579	-0.963448222	-0.968749454	-0.980821455	-0.979393803	-0.9522297	-0.9522297	-0.972978774	-0.9334961	-0.973565395	-0.987591828	-0.941817292	-0.942086708	-0.983458799	-0.969316599	-0.982211198	-0.952087715	-0.960690268	-0.966828614	-0.955068512	-0.972199966	-0.934608281	-0.973536162
24	WALKING_UPSTAIRS	0.267808897	-0.023549347	-0.118107338	0.867379391	-0.291575465	-0.172356707	0.066090002	0.02353987	-0.01841917	0.025956982	-0.110618665	0.054802845	-0.118663524	-0.037130981	-0.054254465	-0.082069837	-0.082069837	-0.365717017	-0.159484791	-0.588181569	-0.279639252	-0.107042926	-0.331505849	-0.413372842	-0.16299377	-0.253523744	-0.373289306	-0.341922191	-0.563234629	-0.32632617	-0.449068614	-0.439366825	-0.3779114	-0.419226414	-0.271918711	-0.212099596	-0.288821917	-0.243659256	-0.248579479	-0.022587936	-0.335636949	0.085107879	-0.417832492	-0.15477112	-0.638602911	0.116326881	-0.234284662	0.009752237	-0.140897073	-0.948819722	-0.926918216	-0.90488015	-0.344931332	-0.31684132	-0.602038029	-0.449471032	-0.309827328	-0.220718218	-0.545062585	-0.640385009	-0.550066913	-0.250372755	-0.250372755	-0.374155369	-0.308024505	-0.649520882	-0.219026027	0.001564831	-0.114927765	-0.375543643	-0.337470382	-0.639975402	-0.476690733	-0.260823299	-0.279442556	-0.369943038	-0.433177649	-0.357862003	-0.691228147
25	LAYING	0.243690939	-0.019528174	-0.097696713	-0.32023804	0.617116889	0.524708979	0.090636466	0.005072103	-0.011906487	-0.01524284	-0.090131072	0.142206346	-0.105465812	-0.039999074	-0.068989891	-0.935690034	-0.935690034	-0.976834708	-0.927337339	-0.982514585	-0.949606245	-0.938839298	-0.956935922	-0.208048647	0.165398457	0.188803103	-0.978338359	-0.960256821	-0.975171594	0.095802155	-0.001991449	0.024970129	-0.949489966	-0.966942031	-0.952826635	-0.076242466	-0.216407179	0.092579715	-0.923146045	0.122153499	-0.966975282	0.174227614	-0.941220078	-0.127478225	-0.975713576	0.098132434	-0.940629219	-0.926900911	-0.943853431	-0.898764767	-0.970265832	-0.957108679	-0.97871074	-0.959698349	-0.978205446	-0.955799929	-0.960993867	-0.95199129	-0.969365977	-0.982052609	-0.981266948	-0.895260067	-0.895260067	-0.964801562	-0.919820432	-0.972854665	-0.937719354	-0.925865805	-0.941252872	-0.981160763	-0.962066413	-0.979883529	-0.958144933	-0.958149631	-0.956186819	-0.898639556	-0.961442488	-0.920552898	-0.971213918
25	STANDING	0.279940784	-0.015875286	-0.106728132	0.934385215	-0.212227597	0.009924678	0.075237359	0.007584975	-0.005854505	-0.025458324	-0.067130092	0.07618858	-0.100174993	-0.042786201	-0.052072575	-0.961844172	-0.961844172	-0.980038727	-0.949373217	-0.98251357	-0.982934435	-0.949940844	-0.964803218	0.028898029	-0.01562223	0.110316923	-0.981671782	-0.967810836	-0.979533634	0.228847888	-0.097316241	0.058381594	-0.951661984	-0.971870876	-0.963046582	-0.218270375	-0.169852656	-0.053213854	-0.961662961	0.09367271	-0.974279884	0.287718345	-0.956534089	-0.165628174	-0.979380172	0.130595229	-0.985609266	-0.941928632	-0.951984111	-0.987920939	-0.971203745	-0.959646535	-0.981769173	-0.967710035	-0.982462461	-0.953310617	-0.969305813	-0.962230508	-0.97215656	-0.984008219	-0.979908607	-0.954956244	-0.954956244	-0.974725795	-0.94135001	-0.97836845	-0.987019323	-0.94107778	-0.948666831	-0.983606787	-0.970078868	-0.984071563	-0.954544254	-0.968245328	-0.965484532	-0.957972891	-0.974263447	-0.942231693	-0.9783667
26	LAYING	0.265107878	-0.019972571	-0.111729155	-0.330647267	0.660672771	0.608498734	0.084904752	0.014019168	-0.006651443	-0.011473987	-0.097288069	0.138469278	-0.100996129	-0.037775359	-0.065750053	-0.929430871	-0.929430871	-0.978014791	-0.930749256	-0.981701098	-0.963794333	-0.945572562	-0.95608745	-0.307127206	0.128142354	0.170979161	-0.978975903	-0.969931699	-0.975334276	0.104692209	-0.005210793	0.056437579	-0.959914685	-0.965949847	-0.961820771	-0.02337493	-0.158510674	0.124107133	-0.941123966	0.081619622	-0.973425588	0.286340069	-0.952236975	-0.049309136	-0.976664578	0.160458749	-0.956534993	-0.934623554	-0.941110691	-0.936370344	-0.948838754	-0.94454123	-0.979547623	-0.969812643	-0.97846152	-0.964583687	-0.961223158	-0.961490501	-0.975587496	-0.979205623	-0.982764085	-0.921597847	-0.921597847	-0.973580536	-0.936599317	-0.975463474	-0.954173146	-0.933357381	-0.937873078	-0.982210737	-0.97197547	-0.980287405	-0.966405209	-0.959323857	-0.965048876	-0.92437845	-0.972775405	-0.93801359	-0.975450247
27	LAYING	0.26964719	-0.016870339	-0.110156721	-0.37279673	0.66824185	0.506159455	0.081317655	0.011080128	-0.005599352	-0.016655184	-0.093617424	0.122644724	-0.10346727	-0.038109184	-0.063051431	-0.927223894	-0.927223894	-0.976055632	-0.932976445	-0.980353917	-0.964543454	-0.946122004	-0.950347507	-0.246838537	0.135619223	0.203157831	-0.978398065	-0.967434242	-0.973012732	0.088773561	-0.049830216	0.069514731	-0.957033272	-0.964074496	-0.960573781	-0.050344056	-0.135918552	0.095756313	-0.937912275	0.108188111	-0.971184355	0.263436853	-0.950967814	-0.06418503	-0.976229041	0.171874962	-0.959289512	-0.936518005	-0.934080436	-0.94149745	-0.96011341	-0.931609823	-0.978472302	-0.966983484	-0.976259266	-0.962342492	-0.959922363	-0.958111151	-0.972027233	-0.978798593	-0.982789368	-0.918572628	-0.918572628	-0.971151623	-0.934345394	-0.975124702	-0.957613174	-0.935738181	-0.930914524	-0.980592523	-0.968922097	-0.978130252	-0.964367532	-0.958321381	-0.961361433	-0.921818253	-0.97017792	-0.935613899	-0.975263677
28	LAYING	0.272953843	-0.015119443	-0.106099779	-0.336390557	0.484897055	0.544724177	0.078773476	0.010868178	-0.002414254	-0.019873554	-0.085643198	0.105757856	-0.102105874	-0.038899652	-0.059678454	-0.94004498	-0.94004498	-0.982052645	-0.946812589	-0.984354836	-0.972746265	-0.955768086	-0.962420653	-0.306354942	0.075405073	0.183719575	-0.983591245	-0.976454931	-0.978821011	0.101611805	0.016294816	0.050832449	-0.965966972	-0.970758103	-0.969866177	-0.062680119	-0.154645228	0.11474784	-0.955822951	0.053372392	-0.978302906	0.298545357	-0.960599036	-0.044279239	-0.980617684	0.170142698	-0.966252323	-0.942894427	-0.950907176	-0.955904742	-0.96052019	-0.955197647	-0.983619529	-0.976295715	-0.981101394	-0.969656391	-0.965793771	-0.96947733	-0.978019602	-0.982658823	-0.986998083	-0.942618029	-0.942618029	-0.978606336	-0.947769469	-0.979571332	-0.964091683	-0.940336383	-0.948381245	-0.985187537	-0.977907905	-0.981967229	-0.971068986	-0.963588448	-0.972209423	-0.944544095	-0.977972507	-0.94898198	-0.97947005
29	LAYING	0.266199659	-0.020735518	-0.104472956	-0.381729263	0.564208721	0.49729641	0.082845586	0.008324003	-0.003786695	-0.018659883	-0.100180655	0.136493133	-0.101110004	-0.03767683	-0.064957763	-0.94766661	-0.94766661	-0.979738079	-0.934506376	-0.982564108	-0.965233255	-0.952932834	-0.962356297	-0.201918483	0.162828225	0.213887621	-0.980113694	-0.971462659	-0.977498517	0.112937881	0.037437993	0.090978731	-0.96038986	-0.966586477	-0.962004234	0.016178124	-0.095413855	0.137532319	-0.946948258	0.162610736	-0.974916988	0.314084415	-0.94958147	0.014827647	-0.976748862	0.187431017	-0.959655018	-0.944061683	-0.951808776	-0.935674075	-0.963637326	-0.956242079	-0.980070581	-0.971469634	-0.98037189	-0.967278794	-0.962708044	-0.962247954	-0.975302484	-0.979729737	-0.985920008	-0.931075144	-0.931075144	-0.974254125	-0.935231258	-0.975095596	-0.95785127	-0.943045102	-0.949614677	-0.981882194	-0.973674887	-0.981863395	-0.969695944	-0.961030928	-0.965825537	-0.933907968	-0.972479423	-0.937448973	-0.97462026
30	LAYING	0.273563935	-0.018851529	-0.106066892	-0.464710616	0.727899783	0.618676471	0.079870057	0.012278034	-0.004470148	-0.017550763	-0.09147968	0.12387827	-0.100985712	-0.038171409	-0.064954903	-0.962820632	-0.962820632	-0.980629684	-0.948779305	-0.984664701	-0.970637123	-0.965498663	-0.969577351	-0.236540771	0.211375041	0.248501965	-0.980230754	-0.973564304	-0.978718565	0.120010754	0.029358833	0.09231687	-0.973332742	-0.970534495	-0.968426408	0.046046696	-0.133770361	0.099776804	-0.960769683	0.179542803	-0.974988977	0.264823525	-0.962740654	0.017576031	-0.979857055	0.153015692	-0.966439035	-0.96247915	-0.963472961	-0.954330555	-0.981930755	-0.971092133	-0.9804528	-0.973180729	-0.981471736	-0.977634636	-0.966643595	-0.968070018	-0.980728557	-0.981628047	-0.986188697	-0.953308236	-0.953308236	-0.975233293	-0.952121612	-0.979040961	-0.965137514	-0.962875865	-0.962527657	-0.982572267	-0.97472348	-0.982859218	-0.979206934	-0.965088893	-0.970888567	-0.956211386	-0.974461113	-0.953812502	-0.979191209
